timestamp_utc,symbol,price,action,confidence,tech_signal,ml_prob,position_qty,equity,drawdown,traded,regime,threshold,note
2026-05-16T08:56:39.737348+00:00,BTC/USD,78382.5885,OUT,0.241076,-0.379814,0.035294,1.9e-05,101316.5,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-16T08:56:52.422297+00:00,SOL/USD,87.513,OUT,0.195349,-0.553207,0.060286,0.0,101316.5,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T08:57:12.685354+00:00,DOGE/USD,0.110055,OUT,0.265059,-0.584059,0.077332,5.3e-05,101316.5,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T09:43:38.987124+00:00,BTC/USD,78088.378,OUT,0.243156,-0.415892,0.034693,1.9e-05,101316.39,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-16T09:43:46.829840+00:00,SOL/USD,86.16805,OUT,0.193227,-0.622811,0.090509,0.0,101316.39,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T09:44:07.296454+00:00,DOGE/USD,0.109439,OUT,0.263976,-0.519633,0.077516,5.3e-05,101316.39,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T13:28:47.942269+00:00,BTC/USD,77886.065,OUT,0.281873,-0.370796,0.046921,1.9e-05,101316.38,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-16T13:28:56.477360+00:00,SOL/USD,86.14615,OUT,0.226479,-0.55854,0.095133,0.0,101316.38,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T13:29:14.877970+00:00,DOGE/USD,0.108272,OUT,0.27497,-0.557739,0.077964,5.3e-05,101316.38,0.0,0,bear_trend,0.46,waiting_for_entry
2026-05-16T17:01:43.413889+00:00,BTC/USD,78207.3475,OUT,0.313268,-0.08052,0.02381,1.9e-05,101316.39,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-16T17:01:52.165017+00:00,SOL/USD,86.6016,OUT,0.264472,-0.314333,0.074183,0.0,101316.39,0.0,0,bear_trend,0.42,waiting_for_entry
2026-05-16T17:02:12.692503+00:00,DOGE/USD,0.109933,OUT,0.322018,-0.093739,0.076387,5.3e-05,101316.39,0.0,0,bear_trend,0.46,waiting_for_entry
